Block Height,Price
870850,14.5164
870840,14.5412
870830,14.4954
870800,14.467
870790,14.55
870750,14.73
870720,14.29
870700,14.467
870680,14.58
870610,14.95
870590,14.74
870560,14.56297
870530,14.49
870500,14.467
870420,14.46992
870360,14.49
870330,14.84
870300,14.85657
870250,14.92
870190,14.88
870150,14.84
870120,15.19
870100,15.2139
870080,15.37142
870070,15.4166
870060,15.5542
870000,15.42
869950,15.35
869930,15.39
869920,15.3549
869900,15.30117
869850,15.24
869830,15.21745491
869820,15.21
869800,15.22044429
869790,15.2271
869770,15.27768792
869750,15.34
869740,15.35554
869730,15.34
869720,15.35554
869710,15.3
869700,15.2906
869690,15.3
869680,15.33552
869670,15.30486069
869660,15.29497
869650,15.3425
869640,15.29497
869630,15.2686
869620,15.28
869610,15.5006
869590,15.615
869580,15.6168
869560,15.5006
869540,15.48
869490,15.7
869460,15.8518
869450,15.96
869440,15.97
869430,15.968
869420,15.94219747
869410,15.99
869400,15.9627
869390,15.88
869350,15.87
869320,15.8518
869300,15.92275
869260,15.84284
869250,15.8227265
869240,15.84284
869220,15.88864
869210,15.8
869190,15.76752449
869180,15.8
869160,15.7563
869110,15.61
869100,15.5862
869050,15.27
869040,15.2576
869030,15.21891
869000,15.16165341
868990,15.15
868940,15.25
868930,15.28349278
868920,15.49367507
868910,15.5862
868890,15.66559
868880,15.69197406
868870,15.66559
868860,15.7112
868850,15.7528
868840,15.61293388
868830,15.7765
868820,15.77595058
868810,15.80755
868800,15.85081638
868790,15.8
868760,15.79
868750,15.76637117
868720,15.73093
868710,15.88
868670,15.95
868650,15.96922
868640,16.09
868630,16.1266
868610,16.15374
868590,16.1219
868580,16.08864529
868560,15.63
868550,15.52762428
868540,15.63
868520,15.5
868500,15.48
868480,15.32
868470,15.2526
868440,15.22606
868430,15.20552
868380,15.07
868370,15.08616873
868350,15.02853
868330,15.09
868320,15.1939
868300,15.24119715
868290,15.26
868270,15.25
868260,15.23434429
868200,15.19562
868180,15.2664313
868110,15.18
868090,15.22322293
868070,15.23450296
868050,15.24090296
868040,15.22151527
868030,15.28828
868020,15.30360873
868010,15.37567
867960,15.09
867900,15.04
867860,14.8823
867850,14.87
867830,14.8823
867820,14.91
867800,14.94
867750,15.1939
867710,15.16
867700,15.1610154
867690,15.16
867660,15.43552
867650,15.4644
867630,15.4461
867610,15.43
867590,15.44629
867570,15.38731095
867560,15.37
867550,15.49022527
867520,15.705
867510,15.71
867480,15.6
867470,15.59136731
867460,15.5899
867440,15.45902
867420,15.44
867410,15.62
867400,15.64993
867350,15.62
867340,15.6998
867310,15.87
867300,15.7899928
867290,15.87
867280,15.63
867270,15.6219
867260,15.62
867250,15.63
867200,15.96
867170,15.96633
867150,15.89
867130,15.7821
867100,15.74
867050,15.72
867010,15.98
867000,16.01586228
866980,16.1189
866970,16.19
866960,16.26
866950,16.19
866920,16.33036
866910,16.33921529
866900,16.39
866860,16.26
866850,16.22
866810,16.183
866800,16.19254003
866770,16.47537
866740,16.25
866720,16.24
866710,16.18
866700,16.14096295
866690,16.14963893
866670,16.18
866620,16.39
866580,16.22
866570,16.1827
866560,15.90615
866540,15.83
866520,15.8218
866490,15.83
866480,15.8218
866470,15.719
866460,15.6349
866450,15.68342206
866440,15.6058
866420,15.68487
866410,15.71
866400,15.73
866380,15.8218
866370,15.8001065
866360,15.8218
866350,15.82719
866340,15.8218
866330,15.86445
866320,15.8218
866300,15.86445
866290,16.1
866280,16.02
866270,16.0579
866260,16.1497
866250,16.11361202
866240,16.02
866230,16.00506
866220,15.94
866210,15.93352908
866200,15.843
866190,15.76
866170,15.73429
866150,15.94
866130,16.07977761
866120,16.08
866110,16.0472
866100,16.0225792
866090,16.0775792
866070,16.28
866060,16.28231853
866040,16.28
866030,16.30336895
866020,16.33778456
866010,16.29443456
866000,16.31108287
865990,16.3456
865970,16.26365
865960,16.18865
865950,16.09395027
865940,16.13312769
865930,16.14687769
865920,16.1306523
865910,16.0633788
865900,15.86097724
865890,15.97597724
865880,16.0732
865870,16.0993
865860,16.07224991
865850,16.07259635
865840,16.06754635
865820,16.1
865810,16.06975208
865800,16.00783936
865790,16.07534436
865780,16.10465318
865770,15.92965
865750,15.95029
865740,15.89519916
865730,15.7605
865720,15.65046403
865710,15.67416403
865700,15.60550972
865690,15.52705972
865680,15.3601
865670,15.18521047
865660,15.194955
865650,15.09
865610,15.18
865600,15.225
865590,15.381565
865570,15.633715
865560,15.73822548
865540,15.7464
865530,15.75
865520,15.8
865510,15.79284337
865500,15.7519
865480,15.7805
865470,15.79013947
865460,15.92684
865450,15.97974
865440,16.14538
865430,16.18596372
865410,15.94923
865400,15.83966768
865390,15.6583536
865380,15.65
865370,15.58824214
865360,15.51478881
865350,15.48857482
865340,15.60742482
865320,15.750485
865310,15.79027687
865300,15.84
865290,16.02109012
865280,16.01289
865270,16.08285195
865260,16.09534
865250,16.1652
865240,16.21965
865230,16.2174317
865220,16.20505
865210,16.11
865190,16.05978424
865180,16.09135
865170,16.31694637
865160,16.3755
865150,16.53914162
865140,16.48005
865110,16.21587
865100,15.9605
865070,15.58976
865060,15.4963
865050,15.44043864
865040,15.4359
865030,15.4813
865020,15.30821306
865010,15.33835
865000,15.17927
864990,15.18162
864980,15.21812961
864970,15.15397
864960,15.3094277
864950,15.20416074
864910,15.546015
864890,15.66
864870,15.71125
864860,15.74032658
864850,15.74
864840,15.7194
864830,15.79293463
864820,15.9926
864810,16.1109
864790,16.20216274
864780,16.0876
864760,15.94577983
864750,15.9621
864740,16.00265941
864730,15.87861539
864720,15.85225039
864680,15.90837
864670,16.11922206
864650,16.10466
864640,16.0704
864630,16.0414
864620,16.2625
864610,16.31
864600,16.3888384
864590,16.6831
864560,16.74
864520,16.33
864510,16.26
864460,15.6825
864430,15.65002
864420,15.51339371
864410,15.29
864400,15.24247524
864390,15.13
864380,15.12995
864370,15.1249
864360,15.0999
864340,15.3973
864330,15.44
864320,15.3973
864310,15.3799
864300,15.30196513
864280,15.07975665
864260,14.98
864210,15.16
864200,15.42598499
864180,15.9126
864170,15.92704
864150,15.8
864140,15.58325072
864130,15.55
864120,15.54866979
864110,16.0609
864100,15.72
864090,15.7096
864040,15.3973
864010,15.58255
864000,16.06985
863990,16.03021
863970,16.57068
863920,17.24
863910,16.93657
863870,16.91
863840,17.2
863830,17.27
863820,17.33262289
863800,17.77
863790,17.823
863780,17.87755
863740,18.2
863700,18.43
863650,18.7
863640,18.21786999
863630,18.04948
863620,18.26939415
863610,18.04948
863600,17.4335
863590,17.02316202
863580,16.7811
863570,16.73915
863560,16.73985
863500,16.86
863480,16.84
863470,16.9127
863460,16.84
863450,17.09435
863420,17.3
863400,17.32487
863340,17.67
863330,17.30144454
863320,17.48736197
863310,17.38184
863290,17.17
863240,17.86
863220,17.83
863200,17.8375
863190,17.83
863130,18.68
863100,19.3685
863090,19.339
863080,19.0946
863070,18.864
863060,19.19029
863050,19.01217506
863040,18.864
863030,18.85233434
862990,19.339
862980,19.4441
862960,19.339
862930,18.99754
862900,18.86
862880,19.339
862870,19.65861
862850,19.925
862820,19.93995
862810,19.84155
862800,20.07
862790,19.78391217
862780,19.8225
862770,19.86
862760,20.34995
862750,19.9188
862740,19.64595
862720,18.795175
862710,18.40902084
862700,18.55563332
862690,17.779305
862680,17.68433467
862670,17.48214815
862660,17.41
862650,16.6335
862640,16.61768379
862630,16.54112
862620,16.6335
862610,16.5645761
862600,16.37012205
862570,15.56987595
862560,16.1985
862540,16.497915
862490,16.84945
862480,16.7385
862470,16.69852885
862460,16.5535
862440,16.7385
862420,17.114485
862410,17.17473791
862400,17.28527468
862390,17.22200153
862380,17.2845606
862370,17.37303629
862360,17.39300749
862350,17.33648563
862340,17.20464234
862330,17.26994149
862320,17.41403858
862300,17.44348959
862280,17.62845059
862270,17.68664707
862260,18.22491788
862240,18.24260577
862230,18.350545
862220,18.35476257
862210,18.21479499
862190,18.75737284
862180,18.85982695
862150,17.45125
862140,17.185495
862130,17.11
862110,16.85451
862100,16.76691
862090,16.9618
862070,17.514375
862060,17.522525
862050,17.33050761
862020,17.08
862010,17.12382963
862000,17.095
861990,16.8635
861980,16.5965
861970,16.5589
861960,16.67822938
861950,16.7085
861940,16.73
861920,16.635
861910,16.54262
861900,16.54543588
861880,16.635
861870,16.5667759
861860,16.44105044
861850,16.30415
861840,16.4365
861830,16.3
861820,16.37017408
861810,16.3
861800,16.28028191
861780,15.79
861750,15.775
861740,15.7607
861720,15.79122
861710,15.84649
861660,15.71
861620,15.6
861610,15.58596201
861600,15.62117492
861580,15.54892848
861450,14.84
861440,14.8253
861390,14.79526
861370,14.81201
861360,14.66274273
861260,14.1085
861240,14.08354
861230,14.0622
861220,14.08354
861210,14.0622
861200,14.0840138
861190,14.0622
861180,14.04438103
861160,14.0622
861140,14.02
861130,14.24
861110,14.42464
861070,14.45
861060,14.7383
861030,14.7936
861010,14.96504
860990,14.7383
860980,15.14309149
860970,15.14959495
860950,15.09360835
860940,15.02295605
860930,15.09123
860910,14.78420035
860890,15.02715916
860880,14.91766
860860,14.65378822
860850,14.83625948
860830,14.61345
860790,14.4061
860780,14.4
860760,14.38
860750,14.47427077
860730,14.5998
860710,14.38
860700,14.3375
860690,14.27235
860680,14.3375
860670,14.295
860660,14.39299346
860650,14.4648
860640,14.18376208
860630,14.22583791
860620,14.2487
860610,14.18183
860590,14.4129
860580,14.39338906
860570,14.43545
860560,14.3989
860550,14.4194
860540,14.34624874
860530,14.44
860520,14.57565144
860510,14.724177
860490,14.6717
860480,14.8532
860470,15.2115
860440,15.24
860410,14.91582
860400,14.87
860390,14.8532
860380,14.71967
860370,14.7179
860360,14.7689367
860350,14.59952913
860340,14.75418874
860330,14.71133437
860320,14.85779
860300,14.8225
860290,14.8532
860260,14.78094
860250,14.8356198
860240,14.78094
860230,14.7141
860220,14.86252409
860210,15.05
860170,14.89
860150,14.77243
860090,14.53
860080,14.48786424
860070,14.5027
860060,14.4766
860040,14.46818701
860030,14.6039
860020,14.7199
860010,14.6636
860000,14.77995
859980,14.69657
859960,14.69
859940,14.6
859930,14.5993
859910,14.58575242
859880,14.6331
